park_states,park_parkCode,park_designation,park_fullName,park_url,park_name,id,name
ME,acad,National Park,Acadia National Park,https://www.nps.gov/acad/index.htm,Acadia,09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture
NY,afbg,National Monument,African Burial Ground National Monument,https://www.nps.gov/afbg/index.htm,African Burial Ground,09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture
NE,agfo,National Monument,Agate Fossil Beds National Monument,https://www.nps.gov/agfo/index.htm,Agate Fossil Beds,09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture
TX,alfl,National Monument,Alibates Flint Quarries National Monument,https://www.nps.gov/alfl/index.htm,Alibates Flint Quarries,09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture
HI,alka,National Historic Trail,Ala Kahakai National Historic Trail,https://www.nps.gov/alka/index.htm,Ala Kahakai,09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture
PA,alpo,National Historic Site,Allegheny Portage Railroad National Historic Site,https://www.nps.gov/alpo/index.htm,Allegheny Portage Railroad,09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture
MP,amme,Park,American Memorial Park,https://www.nps.gov/amme/index.htm,American Memorial,09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture
TN,anjo,National Historic Site,Andrew Johnson National Historic Site,https://www.nps.gov/anjo/index.htm,Andrew Johnson,09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture
VA,apco,National Historical Park,Appomattox Court House National Historical Park,https://www.nps.gov/apco/index.htm,Appomattox Court House,09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture
UT,arch,National Park,Arches National Park,https://www.nps.gov/arch/index.htm,Arches,09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture
AR,arpo,National Memorial,Arkansas Post National Memorial,https://www.nps.gov/arpo/index.htm,Arkansas Post,09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture
"MD,VA",asis,National Seashore,Assateague Island National Seashore,https://www.nps.gov/asis/index.htm,Assateague Island,09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture
NM,azru,National Monument,Aztec Ruins National Monument,https://www.nps.gov/azru/index.htm,Aztec Ruins,09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture
NM,band,National Monument,Bandelier National Monument,https://www.nps.gov/band/index.htm,Bandelier,09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture
CO,beol,National Historic Site,Bent's Old Fort National Historic Site,https://www.nps.gov/beol/index.htm,Bent's Old Fort,09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture
"MT,WY",bica,National Recreation Area,Bighorn Canyon National Recreation Area,https://www.nps.gov/bica/index.htm,Bighorn Canyon,09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture
FL,bicy,National Preserve,Big Cypress National Preserve,https://www.nps.gov/bicy/index.htm,Big Cypress,09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture
MT,biho,National Battlefield,Big Hole National Battlefield,https://www.nps.gov/biho/index.htm,Big Hole,09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture
